"시점","투자현황별(1)","현황별(1)",현황별(2),데이터
"2018","바이오 연구개발비 (백만원)","지역별",울산,33404
"2018","바이오 연구개발비 (백만원)","지역별",세종,30422
"2018","바이오 연구개발비 (백만원)","지역별",경기,666454
"2018","바이오 연구개발비 (백만원)","지역별",강원,57974
"2018","바이오 연구개발비 (백만원)","지역별",충북,299379
"2018","바이오 연구개발비 (백만원)","지역별",충남,26478
"2018","바이오 연구개발비 (백만원)","지역별",전북,15194
"2018","바이오 연구개발비 (백만원)","지역별",전남,6886
"2018","바이오 연구개발비 (백만원)","지역별",경북,16453
"2018","바이오 연구개발비 (백만원)","지역별",경남,6237
"2018","바이오 연구개발비 (백만원)","지역별",제주,4110
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 의약,3073595
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,3397146
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 식품,220786
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 환경,26812
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 의료기기,106741
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,17910
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 자원,26383
"2019","기업 연구개발비 (백만원)","주력업종별",바이오 서비스,123025
"2019","기업 연구개발비 (백만원)","총 종사자규모별",1~49명,336069
"2019","기업 연구개발비 (백만원)","총 종사자규모별",50~299명,534819
"2019","기업 연구개발비 (백만원)","총 종사자규모별",300~999명,592847
"2019","기업 연구개발비 (백만원)","총 종사자규모별",1000명 이상,5293836
"2019","기업 연구개발비 (백만원)","총 종사자규모별",미상,234827
"2019","기업 연구개발비 (백만원)","지역별",서울,386380
"2019","기업 연구개발비 (백만원)","지역별",부산,3166
"2019","기업 연구개발비 (백만원)","지역별",인천,272057
"2019","기업 연구개발비 (백만원)","지역별",대구,86387
"2019","기업 연구개발비 (백만원)","지역별",광주,1192
"2019","기업 연구개발비 (백만원)","지역별",대전,185830
"2019","기업 연구개발비 (백만원)","지역별",울산,44370
"2019","기업 연구개발비 (백만원)","지역별",세종,34622
"2019","기업 연구개발비 (백만원)","지역별",경기,4329555
"2019","기업 연구개발비 (백만원)","지역별",강원,80096
"2019","기업 연구개발비 (백만원)","지역별",충북,1380059
"2019","기업 연구개발비 (백만원)","지역별",충남,97308
"2019","기업 연구개발비 (백만원)","지역별",전북,36104
"2019","기업 연구개발비 (백만원)","지역별",전남,8022
"2019","기업 연구개발비 (백만원)","지역별",경북,35826
"2019","기업 연구개발비 (백만원)","지역별",경남,6658
"2019","기업 연구개발비 (백만원)","지역별",제주,4766
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 의약,1311581
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,147326
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 식품,129144
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 환경,13246
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 의료기기,101860
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,13087
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 자원,11084
"2019","바이오 연구개발비 (백만원)","주력업종별",바이오 서비스,112349
"2019","바이오 연구개발비 (백만원)","총 종사자규모별",1~49명,282575
"2019","바이오 연구개발비 (백만원)","총 종사자규모별",50~299명,463341
"2019","바이오 연구개발비 (백만원)","총 종사자규모별",300~999명,311107
"2019","바이오 연구개발비 (백만원)","총 종사자규모별",1000명 이상,745340
"2019","바이오 연구개발비 (백만원)","총 종사자규모별",미상,37314
"2019","바이오 연구개발비 (백만원)","지역별",서울,218468
"2019","바이오 연구개발비 (백만원)","지역별",부산,3166
"2019","바이오 연구개발비 (백만원)","지역별",인천,243867
"2019","바이오 연구개발비 (백만원)","지역별",대구,6469
"2019","바이오 연구개발비 (백만원)","지역별",광주,982
"2019","바이오 연구개발비 (백만원)","지역별",대전,74552
"2019","바이오 연구개발비 (백만원)","지역별",울산,26158
"2019","바이오 연구개발비 (백만원)","지역별",세종,30322
"2019","바이오 연구개발비 (백만원)","지역별",경기,715454
"2019","바이오 연구개발비 (백만원)","지역별",강원,69034
"2019","바이오 연구개발비 (백만원)","지역별",충북,354610
"2019","바이오 연구개발비 (백만원)","지역별",충남,27428
"2019","바이오 연구개발비 (백만원)","지역별",전북,16983
"2019","바이오 연구개발비 (백만원)","지역별",전남,6942
"2019","바이오 연구개발비 (백만원)","지역별",경북,34160
"2019","바이오 연구개발비 (백만원)","지역별",경남,6316
"2019","바이오 연구개발비 (백만원)","지역별",제주,4766
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 의약,2798289
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,1846422
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 식품,176125
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 환경,25490
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 의료기기,194181
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,23781
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 자원,36434
"2020","기업 연구개발비 (백만원)","주력업종별",바이오 서비스,190941
"2020","기업 연구개발비 (백만원)","총 종사자규모별",1~49명,478182
"2020","기업 연구개발비 (백만원)","총 종사자규모별",50~299명,910407
"2020","기업 연구개발비 (백만원)","총 종사자규모별",300~999명,625415
"2020","기업 연구개발비 (백만원)","총 종사자규모별",1000명 이상,3268808
"2020","기업 연구개발비 (백만원)","총 종사자규모별",미상,8851
